Number of Trucks: 1000
Number of Stations: 2



Print Station Results
Station 1 unload count: 17032	Station 1 unload percentage: 98.49%
Truck 102 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 103 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 104 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 105 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 106 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 107 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 108 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 109 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 110 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 111 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 112 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 113 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 114 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 115 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 116 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 117 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 118 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 119 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 120 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 121 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 122 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 123 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 124 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 125 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 126 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 127 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 128 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 129 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 130 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 131 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 132 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 133 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 134 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 135 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 136 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 137 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 138 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 139 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 140 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 141 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 142 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 143 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 144 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 145 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 146 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 147 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 148 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 149 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 150 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 151 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 152 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 153 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 154 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 155 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 156 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 157 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 158 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 159 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 160 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 161 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 162 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 163 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 164 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 165 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 166 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 167 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 168 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 169 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 170 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 171 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 172 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 173 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 174 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 175 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 176 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 177 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 178 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 179 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 180 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 181 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 182 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 183 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 184 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 185 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 186 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 187 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 188 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 189 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 190 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 191 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 192 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 193 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 194 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 195 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 196 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 197 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 198 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 199 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 200 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 201 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 202 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 203 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 204 results ---> Unload Count: 21	Unload Percentage: 0.12%
Truck 205 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 206 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 207 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 208 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 209 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 210 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 211 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 212 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 213 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 214 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 215 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 216 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 217 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 218 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 219 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 220 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 221 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 222 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 223 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 224 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 225 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 226 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 227 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 228 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 229 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 230 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 231 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 232 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 233 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 234 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 235 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 236 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 237 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 238 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 239 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 240 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 241 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 242 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 243 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 244 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 245 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 246 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 247 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 248 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 249 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 250 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 251 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 252 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 253 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 254 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 255 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 256 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 257 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 258 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 259 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 260 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 261 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 262 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 263 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 264 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 265 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 266 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 267 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 268 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 269 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 270 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 271 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 272 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 273 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 274 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 275 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 276 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 277 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 278 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 279 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 280 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 281 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 282 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 283 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 284 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 285 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 286 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 287 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 288 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 289 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 290 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 291 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 292 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 293 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 294 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 295 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 296 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 297 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 298 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 299 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 300 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 301 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 302 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 303 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 304 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 305 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 306 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 307 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 308 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 309 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 310 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 311 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 312 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 313 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 314 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 315 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 316 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 317 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 318 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 319 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 320 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 321 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 322 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 323 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 324 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 325 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 326 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 327 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 328 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 329 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 330 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 331 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 332 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 333 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 334 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 335 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 336 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 337 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 338 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 339 results ---> Unload Count: 20	Unload Percentage: 0.12%
Truck 340 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 341 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 342 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 343 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 344 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 345 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 346 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 347 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 348 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 349 results ---> Unload Count: 14	Unload Percentage: 0.08%
Truck 350 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 351 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 352 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 353 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 354 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 355 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 356 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 357 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 358 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 359 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 360 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 361 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 362 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 363 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 364 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 365 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 366 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 367 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 368 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 369 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 370 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 371 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 372 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 373 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 374 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 375 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 376 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 377 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 378 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 379 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 380 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 381 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 382 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 383 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 384 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 385 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 386 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 387 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 388 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 389 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 390 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 391 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 392 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 393 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 394 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 395 results ---> Unload Count: 14	Unload Percentage: 0.08%
Truck 396 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 397 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 398 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 399 results ---> Unload Count: 15	Unload Percentage: 0.09%
Truck 400 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 401 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 402 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 403 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 404 results ---> Unload Count: 18	Unload Percentage: 0.1%
Truck 405 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 406 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 407 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 408 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 409 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 410 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 411 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 412 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 413 results ---> Unload Count: 19	Unload Percentage: 0.11%
Truck 414 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 415 results ---> Unload Count: 17	Unload Percentage: 0.1%
Truck 416 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 417 results ---> Unload Count: 16	Unload Percentage: 0.09%
Truck 418 results ---> Unload Count: 18	Unload Percentage: 0.1%
